employee_id,survey_date,satisfaction_score,engagement_index,manager_effectiveness,enps,comments
1,2025-10-01,9,5,8,15,Reliable contributor with solid results and good collaboration.
2,2022-10-01,8,7,8,63,Quality of work is strong; continue building cross‑functional partnerships.
2,2023-10-01,8,6,7,46,Reliable contributor with solid results and good collaboration.
2,2024-10-01,7,5,9,64,Good performance with growing influence across the team.
2,2025-10-01,8,6,6,63,Improve consistency and proactively flag risks earlier.
3,2021-10-01,9,7,8,33,Shows steady progress and communicates effectively with stakeholders.
3,2022-10-01,9,8,6,54,Good performance with growing influence across the team.
3,2023-10-01,7,7,7,67,Quality of work is strong; continue building cross‑functional partnerships.
3,2024-10-01,9,7,8,1,Positive attitude and dependable delivery on commitments.
3,2025-10-01,7,7,6,40,Engagement is steady; increase participation in reviews and retros.
4,2022-10-01,7,7,7,67,Reliable contributor with solid results and good collaboration.
4,2023-10-01,8,5,7,25,Works well with peers; develop deeper technical/role‑specific skills.
4,2024-10-01,7,7,9,22,Positive attitude and dependable delivery on commitments.
4,2025-10-01,8,7,8,39,Shows steady progress and communicates effectively with stakeholders.
5,2020-10-01,6,8,6,61,Meets most expectations; focus on prioritization and follow‑through.
5,2021-10-01,6,8,7,44,Shows steady progress and communicates effectively with stakeholders.
5,2022-10-01,6,8,8,32,Reliable contributor with solid results and good collaboration.
5,2023-10-01,6,6,7,5,Solid foundation—set clearer milestones to improve predictability.
5,2024-10-01,8,8,9,-2,Reliable contributor with solid results and good collaboration.
5,2025-10-01,8,6,6,42,Solid foundation—set clearer milestones to improve predictability.
6,2020-10-01,8,6,8,61,Good performance with growing influence across the team.
6,2021-10-01,6,5,9,15,Engagement is steady; increase participation in reviews and retros.
6,2022-10-01,7,6,7,42,Meets most expectations; focus on prioritization and follow‑through.
6,2023-10-01,6,6,9,61,Quality of work is strong; continue building cross‑functional partnerships.
6,2024-10-01,9,8,9,41,Outstanding performance with visible impact on team outcomes.
6,2025-10-01,9,5,6,48,Meets most expectations; focus on prioritization and follow‑through.
7,2022-10-01,7,7,6,21,Meets most expectations; focus on prioritization and follow‑through.
7,2023-10-01,7,5,6,60,Improve consistency and proactively flag risks earlier.
7,2024-10-01,7,6,8,19,Reliable contributor with solid results and good collaboration.
7,2025-10-01,7,5,9,44,Shows steady progress and communicates effectively with stakeholders.
8,2024-10-01,8,6,6,-15,Solid foundation—set clearer milestones to improve predictability.
8,2025-10-01,8,7,9,46,Quality of work is strong; continue building cross‑functional partnerships.
9,2024-11-16,8,6,6,50,Engagement is steady; increase participation in reviews and retros.
9,2025-10-01,8,8,7,23,Good performance with growing influence across the team.
10,2021-10-01,9,7,7,1,Quality of work is strong; continue building cross‑functional partnerships.
10,2022-10-01,9,5,7,8,Shows steady progress and communicates effectively with stakeholders.
10,2023-10-01,7,6,6,55,Works well with peers; develop deeper technical/role‑specific skills.
10,2024-10-23,4,6,8,-39,Improve consistency and proactively flag risks earlier.
10,2025-10-01,7,5,8,63,Works well with peers; develop deeper technical/role‑specific skills.
11,2022-10-01,6,8,8,48,Reliable contributor with solid results and good collaboration.
11,2023-10-01,6,9,6,64,Reliable contributor with solid results and good collaboration.
11,2024-10-01,6,5,6,68,Works well with peers; develop deeper technical/role‑specific skills.
11,2025-10-01,6,8,9,28,Positive attitude and dependable delivery on commitments.
12,2023-10-01,6,9,8,40,Quality of work is strong; continue building cross‑functional partnerships.
12,2024-10-01,7,6,6,18,Engagement is steady; increase participation in reviews and retros.
12,2025-10-01,9,5,8,59,Reliable contributor with solid results and good collaboration.
13,2024-10-01,7,8,6,45,Quality of work is strong; continue building cross‑functional partnerships.
13,2025-10-01,6,7,6,-7,Engagement is steady; increase participation in reviews and retros.
14,2022-10-01,9,6,7,13,Reliable contributor with solid results and good collaboration.
14,2023-10-01,7,7,9,17,Positive attitude and dependable delivery on commitments.
14,2024-10-01,7,5,9,6,Positive attitude and dependable delivery on commitments.
14,2025-10-01,9,7,7,-20,Good performance with growing influence across the team.
15,2023-10-01,6,5,6,53,Works well with peers; develop deeper technical/role‑specific skills.
15,2024-10-01,9,6,6,45,Reliable contributor with solid results and good collaboration.
15,2025-10-01,6,5,8,62,Solid foundation—set clearer milestones to improve predictability.
16,2021-10-01,7,8,8,13,Good performance with growing influence across the team.
16,2022-10-01,9,5,6,2,Improve consistency and proactively flag risks earlier.
16,2023-10-01,6,7,8,66,Quality of work is strong; continue building cross‑functional partnerships.
16,2024-10-01,8,8,6,-8,Shows steady progress and communicates effectively with stakeholders.
16,2025-10-01,6,5,7,64,Works well with peers; develop deeper technical/role‑specific skills.
17,2023-10-01,7,7,8,36,Reliable contributor with solid results and good collaboration.
17,2024-01-19,5,4,10,16,Engagement is steady; increase participation in reviews and retros.
17,2025-10-01,8,5,8,23,Reliable contributor with solid results and good collaboration.
18,2021-10-01,7,5,9,31,Shows steady progress and communicates effectively with stakeholders.
18,2022-10-01,9,7,9,68,Good performance with growing influence across the team.
18,2023-10-01,9,8,7,-6,Reliable contributor with solid results and good collaboration.
18,2024-03-10,8,8,9,-11,Reliable contributor with solid results and good collaboration.
18,2025-10-01,7,5,7,-7,Meets most expectations; focus on prioritization and follow‑through.
19,2025-10-01,9,9,9,52,Outstanding performance with visible impact on team outcomes.
20,2020-10-01,9,6,9,25,Reliable contributor with solid results and good collaboration.
20,2021-10-01,6,6,9,42,Positive attitude and dependable delivery on commitments.
20,2022-10-01,6,8,9,-15,Quality of work is strong; continue building cross‑functional partnerships.
20,2023-10-01,6,7,8,-19,Positive attitude and dependable delivery on commitments.
20,2024-10-01,7,7,6,35,Improve consistency and proactively flag risks earlier.
20,2025-10-01,7,8,8,64,Shows steady progress and communicates effectively with stakeholders.
21,2020-10-01,9,6,6,-19,Reliable contributor with solid results and good collaboration.
21,2021-10-01,7,9,9,43,Good performance with growing influence across the team.
21,2022-10-01,7,5,9,21,Positive attitude and dependable delivery on commitments.
21,2023-10-01,7,7,8,-14,Shows steady progress and communicates effectively with stakeholders.
21,2024-10-01,7,9,9,31,Quality of work is strong; continue building cross‑functional partnerships.
21,2025-10-01,7,5,9,36,Shows steady progress and communicates effectively with stakeholders.
22,2020-10-01,9,5,9,37,Positive attitude and dependable delivery on commitments.
22,2021-10-01,8,5,9,63,Quality of work is strong; continue building cross‑functional partnerships.
22,2022-10-01,6,5,9,32,Works well with peers; develop deeper technical/role‑specific skills.
22,2023-10-01,6,9,6,-9,Reliable contributor with solid results and good collaboration.
22,2024-03-24,6,8,4,7,Engagement is steady; increase participation in reviews and retros.
22,2025-10-01,8,9,7,63,Quality of work is strong; continue building cross‑functional partnerships.
23,2024-10-01,9,7,8,-14,Reliable contributor with solid results and good collaboration.
23,2025-10-01,7,8,8,51,Good performance with growing influence across the team.
24,2025-10-01,9,7,9,-6,Reliable contributor with solid results and good collaboration.
25,2023-10-01,6,6,6,23,Improve consistency and proactively flag risks earlier.
25,2024-10-01,8,7,8,69,Shows steady progress and communicates effectively with stakeholders.
25,2025-07-17,4,6,6,33,Engagement is steady; increase participation in reviews and retros.
26,2022-10-01,6,5,7,43,Meets most expectations; focus on prioritization and follow‑through.
26,2023-10-01,7,8,6,12,Positive attitude and dependable delivery on commitments.
26,2024-10-01,7,6,6,30,Meets most expectations; focus on prioritization and follow‑through.
26,2025-10-01,7,8,7,23,Positive attitude and dependable delivery on commitments.
27,2023-10-01,6,8,6,61,Works well with peers; develop deeper technical/role‑specific skills.
27,2024-10-01,6,8,9,64,Quality of work is strong; continue building cross‑functional partnerships.
27,2025-10-01,7,8,6,47,Quality of work is strong; continue building cross‑functional partnerships.
28,2022-10-01,6,9,9,54,Reliable contributor with solid results and good collaboration.
28,2023-10-01,9,9,7,68,Good performance with growing influence across the team.
28,2024-12-20,9,5,8,47,Positive attitude and dependable delivery on commitments.
28,2025-01-10,8,4,10,-25,Reliable contributor with solid results and good collaboration.
29,2022-10-01,7,6,6,29,Works well with peers; develop deeper technical/role‑specific skills.
29,2023-10-01,8,9,9,33,Outstanding performance with visible impact on team outcomes.
29,2024-10-01,7,7,9,23,Quality of work is strong; continue building cross‑functional partnerships.
29,2025-10-01,8,8,7,-3,Good performance with growing influence across the team.
30,2021-10-01,9,9,8,69,Demonstrates exceptional ownership and delivers high‑quality work.
30,2022-10-01,8,9,7,5,Good performance with growing influence across the team.
30,2023-10-01,7,9,8,67,Shows steady progress and communicates effectively with stakeholders.
30,2024-12-19,7,9,6,48,Positive attitude and dependable delivery on commitments.
30,2025-10-01,8,6,7,44,Quality of work is strong; continue building cross‑functional partnerships.
31,2023-10-01,8,5,8,51,Good performance with growing influence across the team.
31,2024-10-01,9,9,9,66,Exhibits strong leadership and proactive problem solving.
31,2025-10-01,8,8,6,46,Shows steady progress and communicates effectively with stakeholders.
32,2023-10-01,6,5,9,-2,Engagement is steady; increase participation in reviews and retros.
32,2024-10-22,8,5,10,15,Shows steady progress and communicates effectively with stakeholders.
32,2025-10-01,6,5,7,14,Improve consistency and proactively flag risks earlier.
33,2023-10-01,7,7,8,-2,Reliable contributor with solid results and good collaboration.
33,2024-10-01,6,7,7,49,Solid foundation—set clearer milestones to improve predictability.
33,2025-10-01,6,7,9,-7,Reliable contributor with solid results and good collaboration.
34,2023-10-01,7,9,9,10,Shows steady progress and communicates effectively with stakeholders.
34,2024-05-10,8,5,5,31,Engagement is steady; increase participation in reviews and retros.
34,2025-10-01,8,5,9,29,Quality of work is strong; continue building cross‑functional partnerships.
35,2025-10-01,9,7,6,-19,Reliable contributor with solid results and good collaboration.
36,2021-10-01,8,6,9,8,Quality of work is strong; continue building cross‑functional partnerships.
36,2022-10-01,8,9,7,4,Reliable contributor with solid results and good collaboration.
36,2023-10-01,8,8,7,67,Positive attitude and dependable delivery on commitments.
36,2024-03-26,9,2,6,18,Works well with peers; develop deeper technical/role‑specific skills.
36,2025-10-01,6,6,7,45,Meets most expectations; focus on prioritization and follow‑through.
37,2025-10-01,6,8,6,34,Improve consistency and proactively flag risks earlier.
38,2021-10-01,8,9,8,-4,Good performance with growing influence across the team.
38,2022-10-01,7,9,8,-20,Shows steady progress and communicates effectively with stakeholders.
38,2023-10-01,8,8,7,-15,Positive attitude and dependable delivery on commitments.
38,2024-10-01,7,7,6,60,Solid foundation—set clearer milestones to improve predictability.
38,2025-10-01,8,8,8,-11,Reliable contributor with solid results and good collaboration.
39,2021-10-01,8,9,7,3,Shows steady progress and communicates effectively with stakeholders.
39,2022-10-01,6,9,7,33,Quality of work is strong; continue building cross‑functional partnerships.
39,2023-10-01,9,5,8,8,Reliable contributor with solid results and good collaboration.
39,2024-10-01,7,7,8,26,Reliable contributor with solid results and good collaboration.
39,2025-10-01,8,6,9,51,Shows steady progress and communicates effectively with stakeholders.
40,2023-10-01,6,5,8,37,Engagement is steady; increase participation in reviews and retros.
40,2024-10-01,7,9,7,-15,Positive attitude and dependable delivery on commitments.
40,2025-10-01,8,8,6,29,Quality of work is strong; continue building cross‑functional partnerships.
41,2025-03-19,6,6,8,16,Solid foundation—set clearer milestones to improve predictability.
42,2023-10-01,8,9,8,-17,Reliable contributor with solid results and good collaboration.
